scientificName,n_prot_areas,mean_coverage,taxonKey,kingdom,phylum,order,class,genus,family,species,rank,includes
"Cyprinus carpio Linnaeus, 1758",134,0.04136463233501213,4286975,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinus,Cyprinidae,Cyprinus carpio,SPECIES,"4286975: Cyprinus carpio Linnaeus, 1758 | 7059109: Cyprinus carpio carpio | 8732936: Cyprinus carpio var. carpio"
"Dama dama (Linnaeus, 1758)",132,0.033249197299231176,5220136,Animalia,Chordata,Artiodactyla,Mammalia,Dama,Cervidae,Dama dama,SPECIES,"5220136: Dama dama (Linnaeus, 1758)"
Mespilus germanica L.,130,0.04077270794505829,3031774,Plantae,Tracheophyta,Rosales,Magnoliopsida,Mespilus,Rosaceae,Mespilus germanica,SPECIES,3031774: Mespilus germanica L.
Parthenocissus vitacea (Knerr) Hitchc.,130,0.034105849538466154,3039193,Plantae,Tracheophyta,Vitales,Magnoliopsida,Parthenocissus,Vitaceae,Parthenocissus vitacea,SPECIES,3039203: Parthenocissus inserta (A.Kerner) Fritsch
Pseudotsuga menziesii (Mirb.) Franco,127,0.03344028363734872,2685796,Plantae,Tracheophyta,Pinales,Pinopsida,Pseudotsuga,Pinaceae,Pseudotsuga menziesii,SPECIES,2685796: Pseudotsuga menziesii (Mirb.) Franco | 7306277: Pseudotsuga menziesii subsp. menziesii
Impatiens parviflora DC.,125,0.04792734364782597,2891782,Plantae,Tracheophyta,Ericales,Magnoliopsida,Impatiens,Balsaminaceae,Impatiens parviflora,SPECIES,2891782: Impatiens parviflora DC.
Berberis aquifolium Pursh,123,0.04084834900051377,3033868,Plantae,Tracheophyta,Ranunculales,Magnoliopsida,Berberis,Berberidaceae,Berberis aquifolium,SPECIES,3033865: Mahonia aquifolium (Pursh) Nutt. | 3033868: Berberis aquifolium Pursh
Elodea nuttallii St.John,122,0.033293227153967826,5329212,Plantae,Tracheophyta,Alismatales,Liliopsida,Elodea,Hydrocharitaceae,Elodea nuttallii,SPECIES,5329212: Elodea nuttallii St.John
Syringa vulgaris L.,120,0.04474651229312081,5415039,Plantae,Tracheophyta,Lamiales,Magnoliopsida,Syringa,Oleaceae,Syringa vulgaris,SPECIES,3172300: Ligustrum vulgare L. | 5415039: Syringa vulgaris L.
Oenothera glazioviana Micheli,120,0.03868658778769944,3188894,Plantae,Tracheophyta,Myrtales,Magnoliopsida,Oenothera,Onagraceae,Oenothera glazioviana,SPECIES,3188894: Oenothera glazioviana Micheli | 3188895: Oenothera erythrosepala (Borbas) Borbás | 7440977: Oenothera glazioviana var. azorica Rostaski | 7749574: Oenothera glazioviana var. glazioviana
Oenothera biennis L.,118,0.029439322736374222,3188924,Plantae,Tracheophyta,Myrtales,Magnoliopsida,Oenothera,Onagraceae,Oenothera biennis,SPECIES,3188924: Oenothera biennis L.
Tanacetum parthenium Sch.Bip.,118,0.023410441083100645,3118430,Plantae,Tracheophyta,Asterales,Magnoliopsida,Tanacetum,Asteraceae,Tanacetum parthenium,SPECIES,3118430: Tanacetum parthenium (L.) Sch.Bip. | 3118430: Tanacetum parthenium Sch.Bip. | 8426543: Chrysanthemum parthenium (L.) Bernh.
Datura stramonium L.,117,0.032538652637893,2928751,Plantae,Tracheophyta,Solanales,Magnoliopsida,Datura,Solanaceae,Datura stramonium,SPECIES,2928751: Datura stramonium L. | 2928753: Datura stramonium var. tatula (L.) Torr. | 6402349: Datura stramonium var. stramonium
Prunus laurocerasus L.,116,0.034939877521511044,3021496,Plantae,Tracheophyta,Rosales,Magnoliopsida,Prunus,Rosaceae,Prunus laurocerasus,SPECIES,3021496: Prunus laurocerasus L.
Larix decidua Mill.,116,0.02874183690448599,2686212,Plantae,Tracheophyta,Pinales,Pinopsida,Larix,Pinaceae,Larix decidua,SPECIES,2686212: Larix decidua Mill.
"Tadorna ferruginea (Pallas, 1764)",115,0.057638480900114746,2498015,Animalia,Chordata,Anseriformes,Aves,Tadorna,Anatidae,Tadorna ferruginea,SPECIES,"2498015: Tadorna ferruginea (Pallas, 1764)"
Lunaria annua L.,114,0.028068955080297046,5373324,Plantae,Tracheophyta,Brassicales,Magnoliopsida,Lunaria,Brassicaceae,Lunaria annua,SPECIES,5373324: Lunaria annua L.
Brassica napus L.,114,0.027615839725517788,3042636,Plantae,Tracheophyta,Brassicales,Magnoliopsida,Brassica,Brassicaceae,Brassica napus,SPECIES,3042636: Brassica napus L. | 7225635: Brassica napus subsp. napus | 7801836: Brassica napus subsp. napobrassica (L.) O.Schwarz
"Pelophylax ridibundus (Pallas, 1771)",113,0.05457913405248177,2426661,Animalia,Chordata,Anura,Amphibia,Pelophylax,Ranidae,Pelophylax ridibundus,SPECIES,"2426661: Pelophylax ridibundus (Pallas, 1771) | 2426662: Rana ridibunda Pallas, 1771 | 9321745: Pelophylax ridibundus kurtmuelleri (Gayda, 1940)"
Setaria viridis (L.) P.Beauv.,110,0.027221046085641375,5289684,Plantae,Tracheophyta,Poales,Liliopsida,Setaria,Poaceae,Setaria viridis,SPECIES,5289684: Setaria viridis (L.) P.Beauv. | 5708237: Setaria viridis var. viridis | 8348897: Setaria viridis var. major (Gaudin) Posp.
Cotoneaster horizontalis Decne.,109,0.04355313635101479,3025617,Plantae,Tracheophyta,Rosales,Magnoliopsida,Cotoneaster,Rosaceae,Cotoneaster horizontalis,SPECIES,3025617: Cotoneaster horizontalis Decne.
Arum italicum Mill.,108,0.040815523924014024,5330661,Plantae,Tracheophyta,Alismatales,Liliopsida,Arum,Araceae,Arum italicum,SPECIES,5330661: Arum italicum Mill. | 5330664: Arum italicum subsp. neglectum (F.Towns.) Prime | 7228304: Arum italicum subsp. italicum
Phedimus spurius (M.Bieb.) 't Hart,108,0.027420231797450102,4201607,Plantae,Tracheophyta,Saxifragales,Magnoliopsida,Phedimus,Crassulaceae,Phedimus spurius,SPECIES,4201607: Phedimus spurius (M.Bieb.) 't Hart | 5362018: Sedum spurium Bieb.
Pseudofumaria lutea (L.) Borkh.,107,0.03562714077740985,2888513,Plantae,Tracheophyta,Ranunculales,Magnoliopsida,Pseudofumaria,Papaveraceae,Pseudofumaria lutea,SPECIES,2888513: Pseudofumaria lutea (L.) Borkh. | 5334195: Corydalis lutea (L.) DC.
Geranium purpureum Vill.,106,0.045884045601202725,2890541,Plantae,Tracheophyta,Geraniales,Magnoliopsida,Geranium,Geraniaceae,Geranium purpureum,SPECIES,2890541: Geranium purpureum Vill.
Populus alba L.,106,0.033550787761301035,3040233,Plantae,Tracheophyta,Malpighiales,Magnoliopsida,Populus,Salicaceae,Populus alba,SPECIES,3040233: Populus alba L.
Lepidium didymum L.,104,0.03797249880110418,5377060,Plantae,Tracheophyta,Brassicales,Magnoliopsida,Lepidium,Brassicaceae,Lepidium didymum,SPECIES,3052413: Senebiera pinnatifida DC. | 5377060: Lepidium didymum L. | 5377061: Coronopus didymus (L.) Sm.
"Psittacula krameri (Scopoli, 1769)",103,0.15525979371570717,2479226,Animalia,Chordata,Psittaciformes,Aves,Psittacula,Psittacidae,Psittacula krameri,SPECIES,"2479226: Psittacula krameri (Scopoli, 1769)"
"Anser indicus (Latham, 1790)",103,0.06703198932514048,2498035,Animalia,Chordata,Anseriformes,Aves,Anser,Anatidae,Anser indicus,SPECIES,"2498035: Anser indicus (Latham, 1790)"
"Physella acuta (Draparnaud, 1805)",103,0.0328145130149302,5189806,Animalia,Mollusca,,Gastropoda,Physella,Physidae,Physella acuta,SPECIES,"2291118: Physa acuta Draparnaud, 1805 | 5189806: Physella acuta (Draparnaud, 1805) | 7790194: Haitia acuta (Draparnaud, 1805)"
Vinca major L.,103,0.02617285306922834,3169708,Plantae,Tracheophyta,Gentianales,Magnoliopsida,Vinca,Apocynaceae,Vinca major,SPECIES,3169708: Vinca major L.
Bidens frondosa L.,102,0.04917550070497596,5392174,Plantae,Tracheophyta,Asterales,Magnoliopsida,Bidens,Asteraceae,Bidens frondosa,SPECIES,5392174: Bidens frondosa L. | 5700912: Bidens frondosa var. anomala Porter ex Fern. | 7872129: Bidens frondosa var. frondosa
Pulmonaria officinalis L.,102,0.028604330571919887,5341204,Plantae,Tracheophyta,Boraginales,Magnoliopsida,Pulmonaria,Boraginaceae,Pulmonaria officinalis,SPECIES,5341204: Pulmonaria officinalis L.
Cerastium tomentosum L.,101,0.03224364852970635,3085438,Plantae,Tracheophyta,Caryophyllales,Magnoliopsida,Cerastium,Caryophyllaceae,Cerastium tomentosum,SPECIES,3085438: Cerastium tomentosum L.
"Trachemys scripta elegans (Wied, 1838)",100,0.04514402264292956,6157026,Animalia,Chordata,Testudines,Reptilia,Trachemys,Emydidae,Trachemys scripta,SUBSPECIES,"6157026: Trachemys scripta elegans (Wied, 1838)"
"Cygnus atratus (Latham, 1790)",99,0.06631456066215544,2498344,Animalia,Chordata,Anseriformes,Aves,Cygnus,Anatidae,Cygnus atratus,SPECIES,"2498344: Cygnus atratus (Latham, 1790)"
Rhus typhina L.,98,0.021019252517595264,3190538,Plantae,Tracheophyta,Sapindales,Magnoliopsida,Rhus,Anacardiaceae,Rhus typhina,SPECIES,3190535: Rhus hirta (L.) Sudw. | 3190538: Rhus typhina L.
"Pacifastacus leniusculus (Dana, 1852)",97,0.057349200286557524,2226990,Animalia,Arthropoda,Decapoda,Malacostraca,Pacifastacus,Astacidae,Pacifastacus leniusculus,SPECIES,"2226990: Pacifastacus leniusculus (Dana, 1852)"
"Orconectes limosus (Rafinesque, 1817)",97,0.03518093787478789,2227000,Animalia,Arthropoda,Decapoda,Malacostraca,Orconectes,Cambaridae,Orconectes limosus,SPECIES,"2227000: Orconectes limosus (Rafinesque, 1817)"
Phalaris arundinacea L.,96,0.061628683896126926,5289756,Plantae,Tracheophyta,Poales,Liliopsida,Phalaris,Poaceae,Phalaris arundinacea,SPECIES,5289756: Phalaris arundinacea L. | 5289757: Phalaris arundinacea var. picta L.
Melissa officinalis L.,96,0.025379378154896638,5341501,Plantae,Tracheophyta,Lamiales,Magnoliopsida,Melissa,Lamiaceae,Melissa officinalis,SPECIES,5341501: Melissa officinalis L.
Galinsoga parviflora Cav.,95,0.025880316792273924,3132570,Plantae,Tracheophyta,Asterales,Magnoliopsida,Galinsoga,Asteraceae,Galinsoga parviflora,SPECIES,3132570: Galinsoga parviflora Cav.
"Campylopus introflexus Bridel, 1819",94,0.03978556100937714,5281901,Plantae,Bryophyta,Dicranales,Bryopsida,Campylopus,Dicranaceae,Campylopus introflexus,SPECIES,"5281901: Campylopus introflexus Bridel, 1819"
Lemna minuta Kunth,94,0.03552629766652488,2867614,Plantae,Tracheophyta,Alismatales,Liliopsida,Lemna,Araceae,Lemna minuta,SPECIES,2867614: Lemna minuta Kunth
Rosa rugosa Thunb.,93,0.039465267081593425,3003979,Plantae,Tracheophyta,Rosales,Magnoliopsida,Rosa,Rosaceae,Rosa rugosa,SPECIES,3003979: Rosa rugosa Thunb.
Digitaria sanguinalis (L.) Scop.,93,0.029482271664203058,5289972,Plantae,Tracheophyta,Poales,Liliopsida,Digitaria,Poaceae,Digitaria sanguinalis,SPECIES,5289972: Digitaria sanguinalis (L.) Scop. | 5675253: Digitaria sanguinalis subsp. pectiniformis Henrard | 7931699: Digitaria sanguinalis var. sanguinalis
Setaria verticillata (L.) P.Beauv.,93,0.024813511563952766,5289686,Plantae,Tracheophyta,Poales,Liliopsida,Setaria,Poaceae,Setaria verticillata,SPECIES,5289670: Setaria adhaerens (Forssk.) Chiov. | 5289686: Setaria verticillata (L.) P.Beauv. | 7226776: Setaria verticillata var. verticillata | 7908347: Setaria verticillata var. ambigua (Guss.) Parl.
Eragrostis minor Host,91,0.03451044848420169,2705449,Plantae,Tracheophyta,Poales,Liliopsida,Eragrostis,Poaceae,Eragrostis minor,SPECIES,2705449: Eragrostis minor Host
Potentilla indica (Andrews) T.Wolf,90,0.04172234504878528,8591421,Plantae,Tracheophyta,Rosales,Magnoliopsida,Potentilla,Rosaceae,Potentilla indica,SPECIES,3031919: Duchesnea indica (Andr.) Focke | 3031919: Duchesnea indica (Andrews) Focke | 7221004: Potentilla indica var. indica | 8591421: Potentilla indica (Andrews) T.Wolf
Veronica filiformis Sm.,90,0.031535022117802854,3172100,Plantae,Tracheophyta,Lamiales,Magnoliopsida,Veronica,Plantaginaceae,Veronica filiformis,SPECIES,3172100: Veronica filiformis Sm.
Alchemilla mollis (Buser) Rothm.,90,0.025511634691094468,3028528,Plantae,Tracheophyta,Rosales,Magnoliopsida,Alchemilla,Rosaceae,Alchemilla mollis,SPECIES,3028528: Alchemilla mollis (Buser) Rothm.
Borago officinalis L.,90,0.02477096751751376,2926110,Plantae,Tracheophyta,Boraginales,Magnoliopsida,Borago,Boraginaceae,Borago officinalis,SPECIES,2926110: Borago officinalis L.
Veronica peregrina L.,89,0.03031910665177421,3172104,Plantae,Tracheophyta,Lamiales,Magnoliopsida,Veronica,Plantaginaceae,Veronica peregrina,SPECIES,3172104: Veronica peregrina L.
Centranthus ruber DC.,88,0.034468016269320924,2888740,Plantae,Tracheophyta,Dipsacales,Magnoliopsida,Centranthus,Caprifoliaceae,Centranthus ruber,SPECIES,2888740: Centranthus ruber (L.) DC. | 2888740: Centranthus ruber DC.
Silene coronaria (L.) Clairv.,86,0.02483588859545692,5384741,Plantae,Tracheophyta,Caryophyllales,Magnoliopsida,Silene,Caryophyllaceae,Silene coronaria,SPECIES,3085878: Lychnis coronaria (L.) Desr. | 5384741: Silene coronaria (L.) Clairv. | 7529453: Silene coronaria (L.) Clairv. ex Rchb.
"Aix sponsa (Linnaeus, 1758)",85,0.036226763565678444,2498387,Animalia,Chordata,Anseriformes,Aves,Aix,Anatidae,Aix sponsa,SPECIES,"2498387: Aix sponsa (Linnaeus, 1758)"
Amelanchier lamarckii F.G.Schroed.,85,0.029926039136576262,3024109,Plantae,Tracheophyta,Rosales,Magnoliopsida,Amelanchier,Rosaceae,Amelanchier lamarckii,SPECIES,3024109: Amelanchier lamarckii F.G.Schroed.
Phacelia tanacetifolia Benth.,85,0.020119710398253384,2928226,Plantae,Tracheophyta,Boraginales,Magnoliopsida,Phacelia,Hydrophyllaceae,Phacelia tanacetifolia,SPECIES,2928226: Phacelia tanacetifolia Benth.
Trachemys scripta scripta,84,0.04414682445902505,7062200,Animalia,Chordata,Testudines,Reptilia,Trachemys,Emydidae,Trachemys scripta,SUBSPECIES,7062200: Trachemys scripta scripta
"Anser cygnoides (Linnaeus, 1758)",82,0.028228835683782153,2498034,Animalia,Chordata,Anseriformes,Aves,Anser,Anatidae,Anser cygnoides,SPECIES,"2498034: Anser cygnoides (Linnaeus, 1758) | 9576332: Anser cygnoides f. domesticus"
